# #q, USAXS_int, USAXS_sub
4.251947924716970029e-02,2.256785350919582743e-05,-6.397465809651599691e-06
4.339375660141660263e-02,2.222639400010539606e-05,-7.191947846059611470e-06
4.428601067846642952e-02,2.302830680696588410e-05,-7.564446365145038615e-06
4.519661111223582939e-02,2.224759309890907513e-05,-7.473406047450628208e-06
4.612593513698295955e-02,2.192360634143412351e-05,-9.871894302655354644e-06
4.707436774358436660e-02,2.244052786705471588e-05,-6.907284550484923811e-06
4.804230183902483131e-02,2.183073108717268276e-05,-9.002724496788120251e-06
4.903013840916695815e-02,2.138265100318797831e-05,-7.627787775802239584e-06
5.003828668486771242e-02,2.133398110513390973e-05,-8.741236132716593730e-06
5.106716431151000352e-02,2.160681261408464038e-05,-8.005795085564700275e-06
5.211719752202099293e-02,2.063818094712802697e-05,-9.284112901382156568e-06
5.318882131344715436e-02,2.028920232638922248e-05,-8.777474227256433324e-06
5.428247962716056113e-02,2.124231666880920763e-05,-9.111237036773386179e-06
5.539862553277056373e-02,2.169181868793249276e-05,-6.951328504374122491e-06
5.653772141581643595e-02,2.121304425969546545e-05,-8.738120911934293831e-06
5.770023916932023184e-02,2.046450563530713215e-05,-8.234847526301268598e-06
5.888666038927736768e-02,2.084960787119826214e-05,-8.512723693635606019e-06
6.009747657416750904e-02,2.061137565351196219e-05,-7.848855936842314730e-06
6.133318932856767630e-02,2.111250213769506201e-05,-8.002607267912542941e-06
6.259431057095150852e-02,2.109645538402178430e-05,-7.807219943199220883e-06
6.388136274576210194e-02,2.033790165353097752e-05,-7.388120836562613074e-06
6.519487903984445831e-02,2.081535052752054283e-05,-8.821532368807294232e-06
6.653540360332899084e-02,2.077346677526971107e-05,-7.449976511768052902e-06
6.790349177505662637e-02,2.126803038222090938e-05,-6.603237762249475047e-06
6.929971031263849890e-02,1.955856034329780160e-05,-7.981792327078953824e-06
7.072463762724673364e-02,2.014014786882321786e-05,-8.613206453558232381e-06
7.217886402323296646e-02,1.981974192077673151e-05,-9.448832770100747087e-06
7.366299194267307560e-02,1.954550514063399305e-05,-9.221602296210696699e-06
7.517763621494133464e-02,2.097441776185587665e-05,-7.903575359157190782e-06
7.672342431141510044e-02,1.920988095544232837e-05,-9.012542549279623129e-06
7.830099660541753326e-02,1.993835603386402320e-05,-8.242053509767926058e-06
7.991100663750513866e-02,2.010416614248782146e-05,-7.387808887319219153e-06
8.155412138620928009e-02,2.029650725384717221e-05,-7.595983132448495476e-06
8.323102154434600108e-02,1.973250065602276000e-05,-9.313508089987313328e-06
8.494240180100577631e-02,2.000019399706760137e-05,-7.609827748944705838e-06
8.668897112934259575e-02,2.011647556558134560e-05,-7.885856137971202667e-06
8.847145308028034338e-02,2.008375085066751374e-05,-9.060693489986113973e-06
9.029058608225752625e-02,1.989804898120537121e-05,-8.800038612342426104e-06
9.214712374713621146e-02,1.959963963028222832e-05,-8.782381994749513711e-06
9.404183518240090411e-02,2.027114203544552821e-05,-6.775741727401116311e-06
9.597550530977588812e-02,2.008568278918226790e-05,-8.576290418810020278e-06
9.794893519039535312e-02,1.994139739456411193e-05,-7.437967276314570318e-06
9.996294235665821593e-02,2.001344228065585142e-05,-8.014514776661515273e-06
1.020183611509072608e-01,1.955986610236628900e-05,-8.906502257542629861e-06
1.041160430710723894e-01,1.979179890526136358e-05,-7.177853142223149967e-06
1.062568571234197706e-01,2.019623096666368648e-05,-7.292994509702746580e-06
1.084416901825556723e-01,1.919284638147235626e-05,-8.906449790884960073e-06
1.106714473588311237e-01,1.973977486425198782e-05,-8.484028917009857953e-06
1.129470523733021176e-01,1.931616315691243532e-05,-8.772293999167286253e-06
1.152694479403996303e-01,1.965434730104700988e-05,-8.002542776717664111e-06
1.176395961584670441e-01,1.948921484344790197e-05,-9.412405095863243712e-06
1.200584789083292830e-01,1.922202631756822825e-05,-8.943242671980755393e-06
1.225270982600555614e-01,1.919207673968543603e-05,-8.351191386755708889e-06
1.250464768880871214e-01,1.957962906775428475e-05,-7.626852487377735085e-06
1.276176584949008097e-01,2.013925777224718979e-05,-6.547322006676382461e-06
1.302417082433826034e-01,1.952178358223142376e-05,-7.911888483131226843e-06
1.329197131980928703e-01,1.899228944555607880e-05,-8.400488362729197328e-06
1.356527827756048576e-01,2.008528214541829761e-05,-7.809294711766095462e-06
1.384420492041013862e-01,1.982520236427268536e-05,-7.612788694694274841e-06
1.412886679924240385e-01,1.984430647104594409e-05,-6.702960627475946576e-06
1.441938184087644126e-01,1.962879333678401155e-05,-7.813591649591869058e-06
1.471587039691999721e-01,1.910246279043461724e-05,-9.708776026872186621e-06
1.501845529362746401e-01,1.963648866381447725e-05,-8.329863404895021902e-06
1.532726188278299984e-01,2.016793782493664442e-05,-7.953369445744294593e-06
1.564241809363009217e-01,1.989529444820184890e-05,-8.840291639332200962e-06
1.596405448586868669e-01,1.925823060230455954e-05,-7.192134573405341774e-06
1.629230430374216665e-01,1.940635821889322512e-05,-7.679160958231835601e-06
1.662730353123646754e-01,1.996237867726982840e-05,-7.873900026712508021e-06
