# #q, WAXS_int
2.213764495068905713e+00,8.468317871093750000e+02
2.215485228704998200e+00,8.468233032226562500e+02
2.217205962341091130e+00,8.456367187500000000e+02
2.218926695977183616e+00,8.468024291992187500e+02
2.220647429613276103e+00,8.438103027343750000e+02
2.222368163249368589e+00,8.401499633789062500e+02
2.224088896885461519e+00,8.424865112304687500e+02
2.225809630521554450e+00,8.373588256835937500e+02
2.227530364157646936e+00,8.385217285156250000e+02
2.229251097793739866e+00,8.358078613281250000e+02
2.230971831429832353e+00,8.357069091796875000e+02
2.232692565065924839e+00,8.348648071289062500e+02
2.234413298702017325e+00,8.303416137695312500e+02
2.236134032338110256e+00,8.307036132812500000e+02
2.237854765974203186e+00,8.295104370117187500e+02
2.239575499610295672e+00,8.261210937500000000e+02
2.241296233246388603e+00,8.268964843750000000e+02
2.243016966882481089e+00,8.284607543945312500e+02
2.244737700518573575e+00,8.263472290039062500e+02
2.246458434154666062e+00,8.259317016601562500e+02
2.248179167790758992e+00,8.223493041992187500e+02
2.249899901426851923e+00,8.214763183593750000e+02
2.251620635062944853e+00,8.211515502929687500e+02
2.253341368699037339e+00,8.168402709960937500e+02
2.255062102335129826e+00,8.167570800781250000e+02
2.256782835971222312e+00,8.182123413085937500e+02
2.258503569607314798e+00,8.180334472656250000e+02
2.260224303243407729e+00,8.152038574218750000e+02
2.261945036879500659e+00,8.127472534179687500e+02
2.263665770515593589e+00,8.148399658203125000e+02
2.265386504151686076e+00,8.124541625976562500e+02
2.267107237787778562e+00,8.077761840820312500e+02
2.268827971423871048e+00,8.075290527343750000e+02
2.270548705059963535e+00,8.081114501953125000e+02
2.272269438696056465e+00,8.066463623046875000e+02
2.273990172332149395e+00,8.075709228515625000e+02
2.275710905968242326e+00,8.054827880859375000e+02
2.277431639604334812e+00,8.055168457031250000e+02
2.279152373240427298e+00,8.022914428710937500e+02
2.280873106876519785e+00,8.013859863281250000e+02
2.282593840512612271e+00,7.993060913085937500e+02
2.284314574148705201e+00,7.979552612304687500e+02
2.286035307784798132e+00,7.969739379882812500e+02
2.287756041420891062e+00,7.938010864257812500e+02
2.289476775056983548e+00,7.947293090820312500e+02
2.291197508693076035e+00,7.957951660156250000e+02
2.292918242329168521e+00,7.937274780273437500e+02
2.294638975965261452e+00,7.909990234375000000e+02
2.296359709601353938e+00,7.901513671875000000e+02
2.298080443237446868e+00,7.899071044921875000e+02
2.299801176873539799e+00,7.871857910156250000e+02
2.301521910509632285e+00,7.874094848632812500e+02
2.303242644145724771e+00,7.871441040039062500e+02
2.304963377781817258e+00,7.879088134765625000e+02
2.306684111417910188e+00,7.850436401367187500e+02
2.308404845054002674e+00,7.820493164062500000e+02
2.310125578690095605e+00,7.793596801757812500e+02
2.311846312326188535e+00,7.801535644531250000e+02
2.313567045962281021e+00,7.791571044921875000e+02
2.315287779598373508e+00,7.804983520507812500e+02
2.317008513234465994e+00,7.788526611328125000e+02
2.318729246870558924e+00,7.771220092773437500e+02
2.320449980506651411e+00,7.762329101562500000e+02
2.322170714142744341e+00,7.749835815429687500e+02
2.323891447778837271e+00,7.749287719726562500e+02
2.325612181414929758e+00,7.737134399414062500e+02
2.327332915051022244e+00,7.703942260742187500e+02
2.329053648687114730e+00,7.692263793945312500e+02
2.330774382323207661e+00,7.684091186523437500e+02
